商品ID,名称,类别,品牌,价格,库存,颜色,材质,尺寸,重量,保修月数,上架时间
P001,男士纯棉短袖T恤,服装,优衣库,79.00,500,白色/黑色/灰色,100%棉,M/L/XL/XXL,0.2kg,3,2026-06-01
P002,女士防晒外套UPF50+,服装,蕉下,199.00,320,浅粉/天蓝/白色,锦纶,S/M/L/XL,0.15kg,6,2026-06-15
P003,无线蓝牙耳机Pro,数码,漫步者,299.00,150,黑色/白色,ABS+金属,均码,0.05kg,12,2026-05-20
P004,便携充电宝20000mAh,数码,小米,129.00,800,白色/黑色,锂聚合物,140×68×28mm,0.38kg,18,2026-07-01
P005,智能手表运动版,数码,华为,899.00,200,黑色/银色,不锈钢+硅胶,46mm表盘,0.06kg,12,2026-05-10
P006,不锈钢保温杯500ml,日用品,富光,59.00,600,白色/黑色/蓝色,304不锈钢,高240mm,0.3kg,6,2026-06-20
P007,乳胶枕护颈款,家居,网易严选,149.00,400,白色,天然乳胶,60×40×12cm,1.2kg,12,2026-07-05
P008,有机核桃仁500g,食品,三只松鼠,39.90,1000,原味,核桃,500g/袋,0.5kg,6,2026-07-10
P009,速干运动毛巾,日用品,迪卡侬,29.90,700,蓝色/灰色/橙色,超细纤维,80×40cm,0.1kg,3,2026-06-25
P010,折叠雨伞自动开合,日用品,天堂,49.00,450,藏青/酒红/黑色,碰击布+钢骨,折叠后28cm,0.35kg,3,2026-07-08
P011,空气炸锅4.5L,家电,美的,349.00,120,黑色,不粘涂层+塑料,35×28×32cm,4.5kg,12,2026-06-01
P012,即食鸡胸肉10袋,食品,薄荷健康,69.00,300,原味/黑椒,鸡胸肉,100g×10袋,1.0kg,3,2026-07-12
